Fecha|Total
2020-01-10|0.0
2020-01-11|0.0
2020-01-12|0.0
2020-01-13|0.0
2020-01-14|0.0
2020-01-15|0.0
2020-01-16|0.0
2020-01-17|0.0
2020-01-18|0.0
2020-01-19|0.0
2020-01-20|0.0
2020-01-21|0.0
2020-01-22|0.0
2020-01-23|0.0
2020-01-24|0.0
2020-01-25|0.0
2020-01-26|0.0
2020-01-27|0.0
2020-01-28|0.0
2020-01-29|0.0
2020-01-30|0.0
2020-01-31|0.0
2020-02-01|0.0
2020-02-02|0.0
2020-02-03|0.0
2020-02-04|8437.59
2020-02-05|6159.6
2020-02-06|46632.42
2020-02-07|2368.33
2020-02-08|0.0
2020-02-09|0.0
2020-02-10|5970.1
2020-02-11|20974.08
2020-02-12|0.0
2020-02-13|25025.24
2020-02-14|0.0
2020-02-15|0.0
2020-02-16|0.0
2020-02-17|0.0
2020-02-18|5467.21
2020-02-19|3522.0
2020-02-20|12212.859999999999
2020-02-21|2407.0
2020-02-22|0.0
2020-02-23|0.0
2020-02-24|0.0
2020-02-25|1628.0
2020-02-26|1839.71
2020-02-27|4379.0
2020-02-28|14426.5
2020-02-29|0.0
2020-03-01|0.0
2020-03-02|32963.86
2020-03-03|2367.0
2020-03-04|2143.9
2020-03-05|2771.1
2020-03-06|12199.59
2020-03-07|0.0
2020-03-08|0.0
2020-03-09|0.0
2020-03-10|12074.48
2020-03-11|12806.62
2020-03-12|2415.71
2020-03-13|2184.45
2020-03-14|0.0
2020-03-15|0.0
2020-03-16|0.0
2020-03-17|2391.8
2020-03-18|1372.45
2020-03-19|2322.8
2020-03-20|0.0
2020-03-21|0.0
2020-03-22|0.0
2020-03-23|4481.51
2020-03-24|0.0
2020-03-25|954.0
2020-03-26|0.0
2020-03-27|3224.67
2020-03-28|0.0
2020-03-29|0.0
2020-03-30|0.0
2020-03-31|18890.12
2020-04-01|51351.18
2020-04-02|2391.8
2020-04-03|8304.35
2020-04-04|988.55
2020-04-05|0.0
2020-04-06|3380.3500000000004
2020-04-07|4643.8
2020-04-08|0.0
2020-04-09|0.0
2020-04-10|0.0
2020-04-11|0.0
2020-04-12|0.0
2020-04-13|18862.0
2020-04-14|10901.86
2020-04-15|4174.85
2020-04-16|0.0
2020-04-17|0.0
2020-04-18|0.0
2020-04-19|0.0
2020-04-20|0.0
2020-04-21|23518.6
2020-04-22|12734.02
2020-04-23|0.0
2020-04-24|1628.0
2020-04-25|0.0
2020-04-26|0.0
2020-04-27|0.0
2020-04-28|10803.32
2020-04-29|12190.0
2020-04-30|0.0
2020-05-01|0.0
2020-05-02|0.0
2020-05-03|0.0
2020-05-04|0.0
2020-05-05|11826.42
2020-05-06|0.0
2020-05-07|28023.260000000002
2020-05-08|0.0
2020-05-09|0.0
2020-05-10|4474.51
2020-05-11|6452.28
2020-05-12|0.0
2020-05-13|0.0
2020-05-14|0.0
2020-05-15|0.0
2020-05-16|0.0
2020-05-17|0.0
2020-05-18|0.0
2020-05-19|15468.279999999999
2020-05-20|6918.62
2020-05-21|3140.11
2020-05-22|200.0
2020-05-23|0.0
2020-05-24|0.0
2020-05-25|0.0
2020-05-26|0.0
2020-05-27|0.0
2020-05-28|0.0
2020-05-29|19612.63
2020-05-30|0.0
2020-05-31|0.0
2020-06-01|28514.61
2020-06-02|10772.95
2020-06-03|0.0
2020-06-04|11790.0
2020-06-05|0.0
2020-06-06|0.0
2020-06-07|0.0
2020-06-08|893.07
2020-06-09|13408.029999999999
2020-06-10|0.0
2020-06-11|0.0
2020-06-12|13459.01
2020-06-13|0.0
2020-06-14|0.0
2020-06-15|3560.1
2020-06-16|0.0
2020-06-17|0.0
2020-06-18|0.0
2020-06-19|2321.9
2020-06-20|0.0
2020-06-21|0.0
2020-06-22|0.0
2020-06-23|0.0
2020-06-24|0.0
2020-06-25|0.0
2020-06-26|0.0
2020-06-27|0.0
2020-06-28|0.0
2020-06-29|0.0
2020-06-30|35194.520000000004
2020-07-01|0.0
2020-07-02|38771.28
2020-07-03|0.0
2020-07-04|0.0
2020-07-05|0.0
2020-07-06|36824.54
2020-07-07|0.0
2020-07-08|0.0
2020-07-09|0.0
2020-07-10|5418.1
2020-07-11|0.0
2020-07-12|0.0
2020-07-13|0.0
2020-07-14|18782.39
2020-07-15|0.0
2020-07-16|0.0
2020-07-17|0.0
2020-07-18|0.0
2020-07-19|0.0
2020-07-20|0.0
2020-07-21|0.0
2020-07-22|0.0
2020-07-23|0.0
2020-07-24|0.0
2020-07-25|0.0
2020-07-26|0.0
2020-07-27|20355.02
2020-07-28|22385.24
2020-07-29|0.0
2020-07-30|5418.1
2020-07-31|6223.799999999999
2020-08-01|820.25
2020-08-02|0.0
2020-08-03|42792.98
2020-08-04|1195.9
2020-08-05|27774.78
2020-08-06|0.0
2020-08-07|0.0
2020-08-08|0.0
